Month,Channel,Marketing_Spend,Leads,Customers_Acquired,Average_Order_Value,Revenue,Repeat_Customers,Conversion_Rate,Cost_Per_Lead,CAC,ROMI,Repeat_Customer_Rate
2025-01,Google Ads,12860,96,6,6635,39810,1,0.0625,133.95833333333334,2143.3333333333335,2.095645412130638,0.16666666666666666
2025-01,Meta Ads,9130,102,7,6933,48531,1,0.06862745098039216,89.50980392156863,1304.2857142857142,4.315553121577218,0.14285714285714285
2025-01,LinkedIn,8385,48,2,5582,11164,0,0.041666666666666664,174.6875,4192.5,0.3314251639833035,0.0
2025-01,Email,3306,36,4,6399,25596,1,0.1111111111111111,91.83333333333333,826.5,6.742286751361162,0.25
2025-01,Organic,1146,18,2,6935,13870,0,0.1111111111111111,63.666666666666664,573.0,11.102966841186737,0.0
2025-02,Google Ads,14061,107,7,5978,41846,1,0.06542056074766354,131.41121495327104,2008.7142857142858,1.976032999075457,0.14285714285714285
2025-02,Meta Ads,13014,127,8,5521,44168,2,0.06299212598425197,102.4724409448819,1626.75,2.3938835100660825,0.25
2025-02,LinkedIn,6500,41,2,6481,12962,0,0.04878048780487805,158.53658536585365,3250.0,0.9941538461538462,0.0
2025-02,Email,2985,32,3,7267,21801,0,0.09375,93.28125,995.0,6.303517587939698,0.0
2025-02,Organic,716,12,1,5680,5680,0,0.08333333333333333,59.666666666666664,716.0,6.932960893854749,0.0
2025-03,Google Ads,12064,110,8,6198,49584,2,0.07272727272727272,109.67272727272727,1508.0,3.110079575596817,0.25
2025-03,Meta Ads,14892,138,9,6363,57267,2,0.06521739130434782,107.91304347826087,1654.6666666666667,2.8454875100725223,0.2222222222222222
2025-03,LinkedIn,7454,46,2,6070,12140,0,0.043478260869565216,162.04347826086956,3727.0,0.6286557552991683,0.0
2025-03,Email,2528,29,3,7342,22026,0,0.10344827586206896,87.17241379310344,842.6666666666666,7.712816455696203,0.0
2025-03,Organic,1363,25,3,4595,13785,0,0.12,54.52,454.3333333333333,9.113719735876742,0.0
2025-04,Google Ads,13678,99,7,6319,44233,2,0.0707070707070707,138.16161616161617,1954.0,2.2338792221084955,0.2857142857142857
2025-04,Meta Ads,12060,116,7,6481,45367,1,0.0603448275862069,103.96551724137932,1722.857142857143,2.7617744610281925,0.14285714285714285
2025-04,LinkedIn,8302,45,2,7180,14360,0,0.044444444444444446,184.48888888888888,4151.0,0.7297036858588292,0.0
2025-04,Email,2979,37,4,5757,23028,0,0.10810810810810811,80.51351351351352,744.75,6.730110775427996,0.0
2025-04,Organic,1756,31,3,6989,20967,1,0.0967741935483871,56.645161290322584,585.3333333333334,10.940205011389521,0.3333333333333333
2025-05,Google Ads,15581,111,8,5141,41128,1,0.07207207207207207,140.36936936936937,1947.625,1.6396251845196073,0.125
2025-05,Meta Ads,14855,157,10,6233,62330,1,0.06369426751592357,94.61783439490446,1485.5,3.1958936385055536,0.1
2025-05,LinkedIn,5202,28,1,7431,7431,0,0.03571428571428571,185.78571428571428,5202.0,0.4284890426758939,0.0
2025-05,Email,2724,34,4,6294,25176,1,0.11764705882352941,80.11764705882354,681.0,8.242290748898679,0.25
2025-05,Organic,1363,21,3,6459,19377,0,0.14285714285714285,64.9047619047619,454.3333333333333,13.216434336023477,0.0
2025-06,Google Ads,14385,109,8,6134,49072,1,0.07339449541284404,131.9724770642202,1798.125,2.411331247827598,0.125
2025-06,Meta Ads,10016,121,8,4952,39616,2,0.06611570247933884,82.77685950413223,1252.0,2.9552715654952078,0.25
2025-06,LinkedIn,8170,53,3,6601,19803,0,0.05660377358490566,154.1509433962264,2723.3333333333335,1.4238678090575276,0.0
2025-06,Email,3148,40,4,7057,28228,1,0.1,78.7,787.0,7.966963151207116,0.25
2025-06,Organic,1377,25,3,5456,16368,0,0.12,55.08,459.0,10.886710239651416,0.0
2025-07,Google Ads,12160,108,8,5658,45264,2,0.07407407407407407,112.5925925925926,1520.0,2.7223684210526318,0.25
2025-07,Meta Ads,12104,122,7,7297,51079,1,0.05737704918032787,99.21311475409836,1729.142857142857,3.2200099140779908,0.14285714285714285
2025-07,LinkedIn,7485,47,2,6831,13662,0,0.0425531914893617,159.25531914893617,3742.5,0.825250501002004,0.0
2025-07,Email,3352,39,4,4516,18064,1,0.10256410256410256,85.94871794871794,838.0,4.389021479713604,0.25
2025-07,Organic,1017,17,2,6827,13654,0,0.11764705882352941,59.8235294117647,508.5,12.425762045231071,0.0
2025-08,Google Ads,12301,113,8,5480,43840,1,0.07079646017699115,108.85840707964601,1537.625,2.5639378912283552,0.125
2025-08,Meta Ads,12327,131,9,5069,45621,3,0.06870229007633588,94.09923664122137,1369.6666666666667,2.7009004623996105,0.3333333333333333
2025-08,LinkedIn,9721,54,2,7037,14074,0,0.037037037037037035,180.0185185185185,4860.5,0.4477934368892089,0.0
2025-08,Email,2699,31,3,6390,19170,0,0.0967741935483871,87.06451612903226,899.6666666666666,6.1026306039273805,0.0
2025-08,Organic,535,10,1,7059,7059,0,0.1,53.5,535.0,12.194392523364487,0.0
2025-09,Google Ads,14701,120,9,4550,40950,2,0.075,122.50833333333334,1633.4444444444443,1.785524794231685,0.2222222222222222
2025-09,Meta Ads,12261,143,8,5181,41448,2,0.055944055944055944,85.74125874125875,1532.625,2.380474675801321,0.25
2025-09,LinkedIn,7660,48,2,4504,9008,0,0.041666666666666664,159.58333333333334,3830.0,0.17597911227154048,0.0
2025-09,Email,2383,31,3,7203,21609,1,0.0967741935483871,76.87096774193549,794.3333333333334,8.067981535879143,0.3333333333333333
2025-09,Organic,1156,20,2,5581,11162,0,0.1,57.8,578.0,8.655709342560554,0.0
2025-10,Google Ads,12740,92,7,7349,51443,1,0.07608695652173914,138.47826086956522,1820.0,3.0379120879120878,0.14285714285714285
2025-10,Meta Ads,9559,93,6,5203,31218,1,0.06451612903225806,102.78494623655914,1593.1666666666667,2.2658227848101267,0.16666666666666666
2025-10,LinkedIn,9249,48,2,5743,11486,0,0.041666666666666664,192.6875,4624.5,0.24186398529570766,0.0
2025-10,Email,1952,20,2,6888,13776,0,0.1,97.6,976.0,6.057377049180328,0.0
2025-10,Organic,1021,21,3,7309,21927,1,0.14285714285714285,48.61904761904762,340.3333333333333,20.476003917727716,0.3333333333333333
2025-11,Google Ads,13631,117,9,6805,61245,1,0.07692307692307693,116.5042735042735,1514.5555555555557,3.49306727312743,0.1111111111111111
2025-11,Meta Ads,12546,134,8,5456,43648,2,0.05970149253731343,93.6268656716418,1568.25,2.4790371433126097,0.25
2025-11,LinkedIn,8913,45,2,7046,14092,0,0.044444444444444446,198.06666666666666,4456.5,0.5810613710310782,0.0
2025-11,Email,2275,31,3,4917,14751,0,0.0967741935483871,73.38709677419355,758.3333333333334,5.483956043956044,0.0
2025-11,Organic,1598,32,4,7308,29232,1,0.125,49.9375,399.5,17.292866082603254,0.25
2025-12,Google Ads,17988,171,12,5477,65724,2,0.07017543859649122,105.19298245614036,1499.0,2.6537691794529685,0.16666666666666666
2025-12,Meta Ads,10687,121,7,5796,40572,1,0.05785123966942149,88.32231404958678,1526.7142857142858,2.7963881351174322,0.14285714285714285
2025-12,LinkedIn,5728,37,1,4895,4895,0,0.02702702702702703,154.8108108108108,5728.0,-0.14542597765363127,0.0
2025-12,Email,3319,43,5,5890,29450,0,0.11627906976744186,77.18604651162791,663.8,7.8731545646278995,0.0
2025-12,Organic,1674,33,4,5565,22260,1,0.12121212121212122,50.72727272727273,418.5,12.297491039426523,0.25
