Month,Channel,Marketing_Spend,Leads,Customers_Acquired,Average_Order_Value,Revenue,Repeat_Customers
2025-01,Google Ads,12860,96,6,6635,39810,1
2025-01,Meta Ads,9130,102,7,6933,48531,1
2025-01,LinkedIn,8385,48,2,5582,11164,0
2025-01,Email,3306,36,4,6399,25596,1
2025-01,Organic,1146,18,2,6935,13870,0
2025-02,Google Ads,14061,107,7,5978,41846,1
2025-02,Meta Ads,13014,127,8,5521,44168,2
2025-02,LinkedIn,6500,41,2,6481,12962,0
2025-02,Email,2985,32,3,7267,21801,0
2025-02,Organic,716,12,1,5680,5680,0
2025-03,Google Ads,12064,110,8,6198,49584,2
2025-03,Meta Ads,14892,138,9,6363,57267,2
2025-03,LinkedIn,7454,46,2,6070,12140,0
2025-03,Email,2528,29,3,7342,22026,0
2025-03,Organic,1363,25,3,4595,13785,0
2025-04,Google Ads,13678,99,7,6319,44233,2
2025-04,Meta Ads,12060,116,7,6481,45367,1
2025-04,LinkedIn,8302,45,2,7180,14360,0
2025-04,Email,2979,37,4,5757,23028,0
2025-04,Organic,1756,31,3,6989,20967,1
2025-05,Google Ads,15581,111,8,5141,41128,1
2025-05,Meta Ads,14855,157,10,6233,62330,1
2025-05,LinkedIn,5202,28,1,7431,7431,0
2025-05,Email,2724,34,4,6294,25176,1
2025-05,Organic,1363,21,3,6459,19377,0
2025-06,Google Ads,14385,109,8,6134,49072,1
2025-06,Meta Ads,10016,121,8,4952,39616,2
2025-06,LinkedIn,8170,53,3,6601,19803,0
2025-06,Email,3148,40,4,7057,28228,1
2025-06,Organic,1377,25,3,5456,16368,0
2025-07,Google Ads,12160,108,8,5658,45264,2
2025-07,Meta Ads,12104,122,7,7297,51079,1
2025-07,LinkedIn,7485,47,2,6831,13662,0
2025-07,Email,3352,39,4,4516,18064,1
2025-07,Organic,1017,17,2,6827,13654,0
2025-08,Google Ads,12301,113,8,5480,43840,1
2025-08,Meta Ads,12327,131,9,5069,45621,3
2025-08,LinkedIn,9721,54,2,7037,14074,0
2025-08,Email,2699,31,3,6390,19170,0
2025-08,Organic,535,10,1,7059,7059,0
2025-09,Google Ads,14701,120,9,4550,40950,2
2025-09,Meta Ads,12261,143,8,5181,41448,2
2025-09,LinkedIn,7660,48,2,4504,9008,0
2025-09,Email,2383,31,3,7203,21609,1
2025-09,Organic,1156,20,2,5581,11162,0
2025-10,Google Ads,12740,92,7,7349,51443,1
2025-10,Meta Ads,9559,93,6,5203,31218,1
2025-10,LinkedIn,9249,48,2,5743,11486,0
2025-10,Email,1952,20,2,6888,13776,0
2025-10,Organic,1021,21,3,7309,21927,1
2025-11,Google Ads,13631,117,9,6805,61245,1
2025-11,Meta Ads,12546,134,8,5456,43648,2
2025-11,LinkedIn,8913,45,2,7046,14092,0
2025-11,Email,2275,31,3,4917,14751,0
2025-11,Organic,1598,32,4,7308,29232,1
2025-12,Google Ads,17988,171,12,5477,65724,2
2025-12,Meta Ads,10687,121,7,5796,40572,1
2025-12,LinkedIn,5728,37,1,4895,4895,0
2025-12,Email,3319,43,5,5890,29450,0
2025-12,Organic,1674,33,4,5565,22260,1
